Hemisphere|Location|Month|Months|Name|Price|Size|Time|Type|index|level_0|url
Southern Hemisphere|Flying|1.0|[1, 2, 3, 10, 11, 12]|Agrias butterfly|3,000||8am - 5pm|Bug|1079|0.0|https://static.wikia.nocookie.net/animalcrossing/images/d/dc/NH-Icon-agriasbutterfly.png
Northern Hemisphere|Flying|4.0|[4, 5, 6, 7, 8, 9]|Agrias butterfly|3,000||8am - 5pm|Bug|1303|3.0|https://static.wikia.nocookie.net/animalcrossing/images/d/dc/NH-Icon-agriasbutterfly.png
Northern Hemisphere|Sea|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Anchovy|200|Small|4am - 9pm|Fish|18|12.0|https://static.wikia.nocookie.net/animalcrossing/images/2/24/NH-Icon-anchovy.png
Southern Hemisphere|Sea|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Anchovy|200|Small|4am - 9pm|Fish|70|13.0|https://static.wikia.nocookie.net/animalcrossing/images/2/24/NH-Icon-anchovy.png
Southern Hemisphere|River|1.0|[1, 2, 3, 4, 11, 12]|Angelfish|3,000|Small|4pm - 9am|Fish|53|36.0|https://static.wikia.nocookie.net/animalcrossing/images/6/63/NH-Icon-angelfish.png
Northern Hemisphere|River|5.0|[5, 6, 7, 8, 9, 10]|Angelfish|3,000|Small|4pm - 9am|Fish|382|40.0|https://static.wikia.nocookie.net/animalcrossing/images/6/63/NH-Icon-angelfish.png
Northern Hemisphere|On rotten food|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Ant|80||All day|Bug|1065|48.0|https://static.wikia.nocookie.net/animalcrossing/images/4/45/NH-Icon-ant.png
Southern Hemisphere|On rotten food|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Ant|80||All day|Bug|1126|49.0|https://static.wikia.nocookie.net/animalcrossing/images/4/45/NH-Icon-ant.png
Southern Hemisphere|River|1.0|[1, 2, 3, 12]|Arapaima|10,000|Huge|4pm - 9am|Fish|61|72.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7f/NH-Icon-arapaima.png
Northern Hemisphere|River|6.0|[6, 7, 8, 9]|Arapaima|10,000|Huge|4pm - 9am|Fish|471|75.0|https://static.wikia.nocookie.net/animalcrossing/images/7/7f/NH-Icon-arapaima.png
Southern Hemisphere|River|1.0|[1, 2, 3, 12]|Arowana|10,000|Medium-large|4pm - 9am|Fish|58|80.0|https://static.wikia.nocookie.net/animalcrossing/images/b/bf/NH-Icon-arowana.png
Northern Hemisphere|River|6.0|[6, 7, 8, 9]|Arowana|10,000|Medium-large|4pm - 9am|Fish|468|83.0|https://static.wikia.nocookie.net/animalcrossing/images/b/bf/NH-Icon-arowana.png
Southern Hemisphere|On trees|1.0|[1, 2, 3, 10, 11, 12]|Atlas moth|3,000||7pm - 4am|Bug|1083|88.0|https://static.wikia.nocookie.net/animalcrossing/images/6/6a/NH-Icon-atlasmoth.png
Northern Hemisphere|On trees|4.0|[4, 5, 6, 7, 8, 9]|Atlas moth|3,000||7pm - 4am|Bug|1306|91.0|https://static.wikia.nocookie.net/animalcrossing/images/6/6a/NH-Icon-atlasmoth.png
Northern Hemisphere|Shaking trees|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Bagworm|600||All day|Bug|1064|100.0|https://static.wikia.nocookie.net/animalcrossing/images/8/81/NH-Icon-bagworm.png
Southern Hemisphere|Shaking trees|1.0|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]|Bagworm|600||All day|Bug|1125|101.0|https://static.wikia.nocookie.net/animalcrossing/images/8/81/NH-Icon-bagworm.png
Southern Hemisphere|Flying|1.0|[1, 2, 3, 4, 11, 12]|Banded dragonfly|4,500||8am - 5pm|Bug|1097|124.0|https://static.wikia.nocookie.net/animalcrossing/images/6/64/NH-Icon-bandeddragonfly.png
Northern Hemisphere|Flying|5.0|[5, 6, 7, 8, 9, 10]|Banded dragonfly|4,500||8am - 5pm|Bug|1386|128.0|https://static.wikia.nocookie.net/animalcrossing/images/6/64/NH-Icon-bandeddragonfly.png
Southern Hemisphere|Sea|1.0|[1, 2, 3, 4, 5, 9, 10, 11, 12]|Barred knifejaw|5,000|Medium-small|All day|Fish|72|136.0|https://static.wikia.nocookie.net/animalcrossing/images/8/8c/NH-Icon-barredknifejaw.png
