Name,url,Price,Location,Size,Time,Month,Hemisphere
 Bitterling,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Icon-bitterling.png/revision/latest/scale-to-width-down/64?cb=20200401003128, 900 Bells, River, Tiny, All day,1,Northern Hemisphere
 Pale chub,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Icon-palechub.png/revision/latest/scale-to-width-down/64?cb=20200401003129, 200 Bells, River, Tiny, 9am - 4pm,1,Northern Hemisphere
 Crucian carp,https://vignette.wikia.nocookie.net/animalcrossing/images/0/03/NH-Icon-cruciancarp.png/revision/latest/scale-to-width-down/64?cb=20200401003129, 160 Bells, River, Small, All day,1,Northern Hemisphere
 Dace,https://vignette.wikia.nocookie.net/animalcrossing/images/2/22/NH-Icon-dace.png/revision/latest/scale-to-width-down/64?cb=20200401003129, 240 Bells, River, Medium-small, 4pm - 9am,1,Northern Hemisphere
 Carp,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Icon-carp.png/revision/latest/scale-to-width-down/64?cb=20200401003129, 300 Bells, Pond, Medium-large, All day,1,Northern Hemisphere
 Koi,https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-Icon-koi.png/revision/latest/scale-to-width-down/64?cb=20200401003129," 4,000 Bells", Pond, Medium-large, 4pm - 9am,1,Northern Hemisphere
 Goldfish,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Icon-goldfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129," 1,300 Bells", Pond, Tiny, All day,1,Northern Hemisphere
 Pop-eyed goldfish,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c9/NH-Icon-popeyedgoldfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129," 1,300 Bells", Pond, Tiny, 9am - 4pm,1,Northern Hemisphere
 Ranchu goldfish,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f9/NH-Icon-ranchugoldfish.png/revision/latest/scale-to-width-down/64?cb=20200401003129," 4,500 Bells", Pond, Small, 9am - 4pm,1,Northern Hemisphere
 Freshwater goby,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ee/NH-Icon-freshwatergoby.png/revision/latest/scale-to-width-down/64?cb=20200401003129, 400 Bells, River, Small, 4pm - 9am,1,Northern Hemisphere
 Bluegill,https://vignette.wikia.nocookie.net/animalcrossing/images/6/69/NH-Icon-bluegill.png/revision/latest/scale-to-width-down/64?cb=20200401003129, 180 Bells, River, Small, 9am - 4pm,1,Northern Hemisphere
